season_id,title,score,eps,area,status,season_type
40142,天才王子的赤字国家振兴术,9.5,12,海外,全12话,番剧
75,黑执事,9.8,24,海外,全24话,番剧
6161,宝可梦 超世代,9.5,188,海外,全188话,番剧
21719,pop子和pipi美的日常,8.8,16,海外,全16话,番剧
1382,NANA,9.6,50,海外,全50话,番剧
36211,无限滑板 / SK8 the Infinity,9.6,13,海外,全13话,番剧
24630,邪神与厨二病少女,9.5,13,海外,全13话,番剧
40134,里亚德录大地,9.2,12,海外,全12话,番剧
28598,诸神的逆鳞,4.7,24,海外,全24话,番剧
1574,伪恋：,9.4,12,海外,全12话,番剧
2668,小马宝莉 友谊魔法 第一季,9.8,26,海外,全26话,番剧
26308,约会大作战 第三季,7.9,12,海外,全12话,番剧
38865,我们的重制人生,9.6,12,海外,全12话,番剧
6310,异世界食堂,9.5,12,海外,全12话,番剧
5056,弹丸论破3 -未来篇-,8.1,12,海外,全12话,番剧
5534,我太受欢迎了该怎么办,9.1,12,海外,全12话,番剧
26875,CAROLE & TUESDAY,9.7,25,海外,全25话,番剧
281,甘城光辉游乐园,9.7,14,海外,全14话,番剧
1530,关于完全听不懂老公在说什么的事 第一季,9.7,13,海外,全13话,番剧
238087,小马国女孩系列 中文配音,9.8,12,海外,全12话,番剧
5977,夏目友人帐 第六季,9.8,13,海外,全13话,番剧
40156,擅长捉弄的高木同学 第三季,9.9,12,海外,全12话,番剧
28004,重来吧，魔王大人！,8.3,12,海外,全12话,番剧
5762,宝可梦 XY1&2,9.4,96,海外,全96话,番剧
21720,小木乃伊到我家,9.6,12,海外,全12话,番剧
34404,你与我最后的战场，亦或是世界起始的圣战,8.0,12,海外,全12话,番剧
29110,理科生坠入情网，故尝试证明。,9.7,12,海外,全12话,番剧
27395,冰海战记,9.8,24,海外,全24话,番剧
101758,胆大党 第二季,9.7,12,海外,全12话,番剧
5043,这个美术社大有问题！,9.8,12,海外,全12话,番剧
5550,夏目友人帐 第五季,9.8,11,海外,全11话,番剧
32974,神之塔,9.3,13,海外,全13话,番剧
23880,装甲重拳/MEGALOBOX,9.8,13,海外,全13话,番剧
6162,宝可梦 钻石&珍珠,9.7,185,海外,全185话,番剧
4188,约会大作战,9.3,12,海外,全12话,番剧
36579,赛马娘 第二季,9.9,13,海外,全13话,番剧
41214,朱妮托尼儿歌 中文配音,6.1,343,海外,全343话,番剧
102255,咔嗒咔嗒,9.2,24,海外,全24话,番剧
47068,小马宝莉 友谊的魔力 第九季 中文配音,9.7,26,海外,全26话,番剧
1626,黑子的篮球 第3期,9.4,25,海外,全25话,番剧
39463,宿命回响：命运节拍,7.4,12,海外,全12话,番剧
38220,极主夫道,9.7,10,海外,全10话,番剧
44830,超常技能开启奇幻世界美食之旅,9.7,12,海外,全12话,番剧
38407,梦比优斯奥特曼,9.8,50,海外,全50话,番剧
26767,我们无法一起学习,9.2,13,海外,全13话,番剧
3365,境界的彼方,9.5,12,海外,全12话,番剧
